"","Species","Season","Site","City","Long","Lat","Crs","Y","J"
"266","striped_skunk","OC14","R04-MMW3","chil",-87.82763197,41.86356253,4326,0,0
"267","striped_skunk","OC14","R04-SCH1","chil",-87.8484205,41.85567851,4326,6,36
"268","striped_skunk","OC14","R05-FMG1","chil",-87.91280438,41.84824061,4326,0,36
"269","striped_skunk","OC14","R05-GOC1","chil",-87.88292622,41.85757554,4326,0,36
"270","striped_skunk","OC14","R05-MTC1","chil",-87.91060758,41.86915824,4326,1,35
"271","striped_skunk","OC14","R05-STP1","chil",-87.86937113,41.88326265,4326,7,36
"272","striped_skunk","OC14","R06-OTB1","chil",-87.97779673,41.85248376,4326,0,6
"273","striped_skunk","OC14","R06-YOW1","chil",-87.93312143,41.85870532,4326,0,36
"274","striped_skunk","OC14","R07-FSP1","chil",-88.02228432,41.85090748,4326,1,29
"275","striped_skunk","OC14","R07-GOF1","chil",-88.04194649,41.8658981,4326,1,29
"276","striped_skunk","OC14","R07-MMP1","chil",-88.00296221,41.87405852,4326,0,36
"277","striped_skunk","OC14","R07-YHR1","chil",-87.98972335,41.86578813,4326,6,36
"278","striped_skunk","OC14","R08-DAP1","chil",-88.07916556,41.87515101,4326,0,0
"279","striped_skunk","OC14","R08-PAP1","chil",-88.05904063,41.8561811,4326,0,0
"280","striped_skunk","OC14","R08-VLG1","chil",-88.07091278,41.8521756,4326,9,29
"281","striped_skunk","OC14","R08-WBK1","chil",-88.06135623,41.84175796,4326,1,29
"282","striped_skunk","OC14","R09-BLW1","chil",-88.14724262,41.86309312,4326,1,29
"283","striped_skunk","OC14","R09-CTG0","chil",-88.16212923,41.85014493,4326,3,29
"284","striped_skunk","OC14","R09-LIM0","chil",-88.12305588,41.87106444,4326,2,29
"285","striped_skunk","OC14","R09-SMI1","chil",-88.11233994,41.85279958,4326,3,16
"286","striped_skunk","OC14","R10-FRM1","chil",-88.2632106,41.81899974,4326,1,29
"287","striped_skunk","OC14","R10-FRM2","chil",-88.25455583,41.83329816,4326,3,29
"288","striped_skunk","OC14","R10-WCP0","chil",-88.2299927,41.88948618,4326,2,29
"289","striped_skunk","OC14","R10-WDW0","chil",-88.19222479,41.86593136,4326,1,29
"290","striped_skunk","OC14","S02-BNS1","chil",-87.59306926,41.81198992,4326,0,37
"291","striped_skunk","OC14","S02-BRI1","chil",-87.69796061,41.829108,4326,0,37
"292","striped_skunk","OC14","S02-MCP1","chil",-87.67616828,41.82610396,4326,0,37
"293","striped_skunk","OC14","S02-PIP1","chil",-87.73000452,41.83325462,4326,0,37
"294","striped_skunk","OC14","S02-PLP1","chil",-87.64874972,41.84407767,4326,0,37
"295","striped_skunk","OC14","S02-TNW1","chil",-87.60065692,41.82389815,4326,0,37
"296","striped_skunk","OC14","S03-JKP2","chil",-87.58010698,41.78574236,4326,0,0
"297","striped_skunk","OC14","S03-LCP1","chil",-87.75085536,41.81401666,4326,0,37
"298","striped_skunk","OC14","S03-PSP1","chil",-87.73172978,41.7880381,4326,0,37
"299","striped_skunk","OC14","S03-VIP1","chil",-87.7478189,41.80241759,4326,0,37
"300","striped_skunk","OC14","S03-WAP1","chil",-87.71888828,41.81169474,4326,0,37
"301","striped_skunk","OC14","S04-HAP1","chil",-87.77935426,41.7803347,4326,0,36
"302","striped_skunk","OC14","S04-OTW1","chil",-87.80373503,41.81511794,4326,0,37
"303","striped_skunk","OC14","S04-SSP1","chil",-87.79732651,41.79931501,4326,0,37
"304","striped_skunk","OC14","S05-LNC1","chil",-87.84473133,41.74274601,4326,0,37
"305","striped_skunk","OC14","S05-RES1","chil",-87.82363466,41.76135893,4326,0,37
"306","striped_skunk","OC14","S05-SFP0","chil",-87.858986115,41.758854845,4326,5,37
"307","striped_skunk","OC14","S06-CBW0","chil",-87.89252291,41.72879771,4326,0,37
