"Species","Season","Site","City","Long","Lat","Crs","Y","J"
"raccoon","JA17","J01-SEP1","chil",-87.63898576,41.90142019,4326,0,30
"raccoon","JA17","J01-SKP1","chil",-87.66100717,41.87989095,4326,1,31
"raccoon","JA17","J01-UIC1","chil",-87.6460853,41.86897406,4326,0,27
"raccoon","JA17","R02-DPG1","chil",-87.69969807,41.86036917,4326,7,28
"raccoon","JA17","R02-FRP1","chil",-87.73276152,41.86167611,4326,0,28
"raccoon","JA17","R02-HRF1","chil",-87.7135301798515,41.8687909871892,4326,0,0
"raccoon","JA17","R03-AUP1","chil",-87.76897765,41.88766256,4326,1,28
"raccoon","JA17","R03-CPG1","chil",-87.7721358,41.87566237,4326,3,28
"raccoon","JA17","R03-EUC1","chil",-87.79182537,41.86573343,4326,0,27
"raccoon","JA17","R03-MAP1","chil",-87.80378089,41.86786605,4326,0,28
"raccoon","JA17","R04-MMW0","chil",-87.83207106,41.85280337,4326,0,16
"raccoon","JA17","R04-MMW3","chil",-87.82763197,41.86356253,4326,1,14
"raccoon","JA17","R04-SCH1","chil",-87.8484205,41.85567851,4326,2,22
"raccoon","JA17","R05-FMG1","chil",-87.91280438,41.84824061,4326,0,28
"raccoon","JA17","R05-GOC1","chil",-87.88292622,41.85757554,4326,3,28
"raccoon","JA17","R05-STP1","chil",-87.86937113,41.88326265,4326,1,28
"raccoon","JA17","R06-OTB1","chil",-87.97779673,41.85248376,4326,6,28
"raccoon","JA17","R06-SLT2","chil",-87.95678027,41.87464622,4326,2,2
"raccoon","JA17","R06-YOW1","chil",-87.93312143,41.85870532,4326,24,28
"raccoon","JA17","R07-FSP1","chil",-88.02228432,41.85090748,4326,20,27
"raccoon","JA17","R07-GOF1","chil",-88.04194649,41.8658981,4326,13,27
"raccoon","JA17","R07-MMP1","chil",-88.00296221,41.87405852,4326,0,26
"raccoon","JA17","R07-YHR1","chil",-87.98972335,41.86578813,4326,3,28
"raccoon","JA17","R08-DAP1","chil",-88.07916556,41.87515101,4326,10,27
"raccoon","JA17","R08-PAP1","chil",-88.05904063,41.8561811,4326,3,27
"raccoon","JA17","R08-VLG1","chil",-88.07091278,41.8521756,4326,19,27
"raccoon","JA17","R08-WBK1","chil",-88.06135623,41.84175796,4326,14,27
"raccoon","JA17","R09-BLW1","chil",-88.14724262,41.86309312,4326,11,27
"raccoon","JA17","R09-CTG0","chil",-88.16212923,41.85014493,4326,4,27
"raccoon","JA17","R09-LIM0","chil",-88.12305588,41.87106444,4326,13,27
"raccoon","JA17","R09-SMI1","chil",-88.11233994,41.85279958,4326,3,27
"raccoon","JA17","R10-FRM1","chil",-88.2632106,41.81899974,4326,0,0
"raccoon","JA17","R10-FRM2","chil",-88.25455583,41.83329816,4326,2,28
"raccoon","JA17","R10-WCP0","chil",-88.2299927,41.88948618,4326,5,27
"raccoon","JA17","R10-WDW0","chil",-88.19222479,41.86593136,4326,2,13
"raccoon","JA17","S02-BNS1","chil",-87.59306926,41.81198992,4326,7,30
"raccoon","JA17","S02-BRI1","chil",-87.69796061,41.829108,4326,0,30
"raccoon","JA17","S02-PIP1","chil",-87.73000452,41.83325462,4326,0,0
"raccoon","JA17","S02-PLP1","chil",-87.64874972,41.84407767,4326,3,30
"raccoon","JA17","S02-TNW1","chil",-87.60065692,41.82389815,4326,0,0
"raccoon","JA17","S03-JKP2","chil",-87.58010698,41.78574236,4326,12,30
"raccoon","JA17","S03-LCP1","chil",-87.75085536,41.81401666,4326,2,30
"raccoon","JA17","S03-PSP1","chil",-87.73172978,41.7880381,4326,0,25
"raccoon","JA17","S03-VIP1","chil",-87.7478189,41.80241759,4326,1,30
"raccoon","JA17","S03-WAP1","chil",-87.71888828,41.81169474,4326,1,30
